ID;KODE;JUDUL_KOMPETENSI;JUDUL_EN;DESKRIPSI;STATUS;DIRKOM_ID;ID
54;KIT-EM-GPR-05;Pengadaan Gas;Gas Procurement;Pengetahuan dan keterampilan  untuk melaksanakan pengadaan bahan bakar gas untuk memenuhi kebutuhan operasi unit pembangkit secara optimal, dengan mempertimbangkan security of supply, reliability dan strategi penyediannya yang menghasilkan efisiensi yang paling optimal. ;ACTV;2;54
55;KIT-EM-CGC-06;Pengendalian Kontrak Gas;Control of Gas Contract;Pengetahuan dan keterampilan  untuk melaksanakan pengendalian kontrak Jual Beli Gas, Jasa transportasi, jasa penyimpanan dan pemrosesan gas dan kontrak lain terkait dengan pemenuhan kebutuhan gas, serta melakukan penyesuaian terhadap klausul-klausul kontrak apabila diperlukan.;ACTV;2;55
56;KIT-EM-GSC-07;Pengendalian Pasokan Gas;Gas Supply Control;Pengetahuan dan keterampilan  untuk mengendalikan pasokan gas ke Pembangkit PLN dan Anak Perusahaan sesuai dengan kebutuhan dalam rangka menjamin keamanan pasokan gas dan melakukan evaluasi atas realisasi penyerapan gas.;ACTV;2;56
57;KIT-EM-GRR-08;Pelaporan Realisasi Gas;Gas Realization Reporting;Pengetahuan dan keterampilan  untuk mengumpulkan data, mengolah data, menyusun pelaporan dan menganalisis data realisasi gas meliputi realisasi pasokan, pemakaian dan biaya gas terkait kesesuaiannya dengan peraturan/kontrak untuk kebutuhan pelaporan internal maupun eksternal sebagai bahan usulan pengambilan keputusan untuk kepentingan perusahaan dan pemenuhan ketentuan pemerintah terkait gas. ;ACTV;2;57
58;KIT-EM-FPR-09;Pengadaan BBM;Fuel Procurement;Pengetahuan dan keterampilan  untuk menguasai proses pengadaan dan melaksanakan pengadaan bahan bakar BBM untuk memenuhi kebutuhan operasi unit pembangkit secara optimal sesuai aturan yang berlaku.;ACTV;2;58
59;KIT-EM-CFE-10;Pengendalian Pelaksanaan Kontrak BBM;Control of Fuel Contract Execution;Pengetahuan dan keterampilan  untuk memastikan terlaksananya administrasi kontrak pengadaan BBM serta mengendalikan pemakaian BBM agar fuel mix dapat tercapai dengan melakukan koordinasi bersama divisi terkait dan menyusun kerjasama dengan pihak terkait untuk menjamin pasokan dan ketersediaan BBM.;ACTV;2;59
60;KIT-EM-MEF-11;Monitoring dan Evaluasi BBM;Monitoring and Evaluation of Fuel;Pengetahuan dan keterampilan  melakukan monitoring realisasi pasokan BBM untuk memastikan kehandalan pasokan BBM sesuai dengan kebutuhan pembangkit serta melakukan evaluasi atas realisasi pasokan terhadap perencanaan BBM.;ACTV;2;60
61;KIT-EM-FRR-12;Pelaporan Realisasi BBM;Fuel Realization Reporting;Pengetahuan dan keterampilan  untuk mengumpulkan data, mengolah data, menyusun pelaporan dan menganalisis data untuk narasi dan rekomendasi dalam pelaporan realisasi BBM sesuai dengan keperluan perusahaan untuk pengambilan keputusan.;ACTV;2;61
62;KIT-PP-GSP-01;Perencanaan Jangka Panjang Sistem Pembangkitan;Generation System Long Term Planning;Pengetahuan dan keterampilan  untuk merencanakan pemenuhan kebutuhan pasokan tenaga listrik dalam jangka panjang secara optimal, dengan mempertimbangkan pertumbuhan beban, teknologi pembangkitan, strategi kesiapan pembangkit dan energi primer.;ACTV;2;62
63;KIT-PP-PAP-02;Perencanaan Pengelolaan Aset Pembangkitan;Generation Asset Management Planning;Pengetahuan dan keterampilan  untuk membuat perencanaan pengeloalan aset pembangkit, meliputi pemeliharaan aset, pengadaan material, operasi, penghapusan aset pembangkit, dan penganggarannya untuk memperoleh manfaat yang optimal. ;ACTV;2;63
64;KIT-PP-RPE-03;Pengembangan Pembangkit Listrik Energi Baru dan Terbarukan;Renewable Energy Power Plant Expansion;Pengetahuan dan keterampilan  untuk merencanakan kebijakan pengembangan pembangkit listrik energi baru dan terbarukan dengan mempertimbangkan kebutuhan pasokan listrik dan potensi sumber daya energi baru dan terbarukan.;ACTV;2;64
65;KIT-PE-PEC-01;Evaluasi dan Pengendalian Kinerja Pembangkit;Generation Performance Evaluation and Control;Pengetahuan dan keterampilan  untuk mengevaluasi dan melakukan pengendalian kinerja pembangkit agar dapat beroperasi dengan kapasitas dan efisiensi yang sesuai dengantarget yang ditetapkan, dapat mempertahankan umur teknis peralatan,menekan jumlah gangguan dan kerusakan di bawah batas outages yang ditetapkan,termasuk membuat rencana anggaran operasi dan pemeliharaan pembangkit.;ACTV;2;65
66;KIT-PE-PPM-02;Pemeliharaan Prediktif Pembangkit;Power Plant Predictive Maintenance;Pengetahuan dan keterampilan  untuk mengukur parameter sesuai tools/teknologi yang digunakan, menganalisis hasil pengukuran dibandingkan dengan standar dan memberikan rekomendasi tindak lanjut untuk mengantisipasi failure/gangguan pada peralatan di unit pembangkit.;ACTV;2;66
67;KIT-PE-EMS-03;Perencanaan Strategi Pemeliharaan Peralatan Pembangkit;Power Plant Equipment Maintenance Strategy Planning;Pengetahuan dan keterampilan  untuk menyusun strategi pemeliharaan peralatan pembangkit dengan konsep reliability management meliputi pembuatan asset register, SERP, FMEA, RCFA, dan FDT untuk menjamin keandalan peralatan pembangkit.;ACTV;2;67
68;KIT-PE-LCM-04;Perencanaan Life Cycle Cost Management (LCCM);Life Cycle Cost Management Planning;Pengetahuan dan keterampilan  untuk memperoleh data pemeliharaan, operasi dan seluruh biaya yang terkait didalamnya, melakukan analisis dengan menggunakan statistic dan permodelan untuk memperoleh total cost of ownership yang terendah yang konsisten dengan fungsi peralatan/plan.;ACTV;2;68
69;KIT-PE-PRE-05;Perencanaan dan Evaluasi Keandalan Pembangkit;Power Plant Reliability Planning and Evaluation;Pengetahuan dan keterampilan  untuk melakukan monitoring dan evaluasi terhadap kondisi keandalan pembangkit dengan konsep reliability management meliputi : pengumpulan data, analisis Pareto, REAP, Asset wellness, RLA, RCFA, FMEA untuk menjaga keandalan pembangkit. ;ACTV;2;69
70;KIT-PE-BRE-06;Perencanaan dan Evaluasi Keandalan Pembangkit Bidang Boiler;Boiler Reliability Planning and Evaluation;Pengetahuan dan keterampilan  untuk melakukan monitoring dan evaluasi terhadap kondisi keandalan pembangkit bidang boiler dengan konsep reliability management meliputi : analisis Pareto, FMEA, RCFA, REAP, FDT, Asset wellness,RLA untuk menjaga keandalan pembangkit.;ACTV;2;70
71;KIT-PE-TRE-07;Perencanaan dan Evaluasi Keandalan Pembangkit Bidang Turbin;Turbine Reliability Planning and Evaluation;Pengetahuan dan keterampilan  untuk melakukan monitoring dan evaluasi terhadap kondisi keandalan turbin dengan konsep reliability management meliputi : analisis Pareto, Perhitungan interval pemeliharaan, FMEA, RCFA,REAP, FDT, Asset wellness,RLA, untuk menjaga keandalan pembangkit.;ACTV;2;71
72;KIT-PE-GRE-08;Perencanaan dan Evaluasi Keandalan Pembangkit Bidang Generator;Generator Reliability Planning and Evaluation;Pengetahuan dan keterampilan  untuk melakukan monitoring dan evaluasi terhadap kondisi keandalan generator dengan konsep reliability management meliputi : Analisis Pareto, Perhitungan interval pemeliharaan, MTBF, FMEA, RCFA, FDT, Asset wellness,RLA untuk menjaga keandalan pembangkit.;ACTV;2;72
73;KIT-PE-ARE-09;Perencanaan dan Evaluasi Keandalan Pembangkit Bidang BOP dan Auxiliary;BOP and Auxiliary Reliability Planning and Evaluation;Pengetahuan dan keterampilan  untuk melakukan monitoring dan evaluasi terhadap kondisi keandalan BOP dan Auxiliary dengan konsep reliability management antara lain : Analisis Pareto, Perhitungan interval pemeliharaan, MTBF, FMEA, RCFA, FDT, Asset wellnessuntuk menjaga keandalan pembangkit.;ACTV;2;73
74;KIT-PE-CRE-10;Perencanaan dan Evaluasi Keandalan Pembangkit Bidang Coal & Ash Handling;Coal & Ash Handling Reliability Planning and Evaluation;Pengetahuan dan keterampilan  untuk melakukan monitoring dan evaluasi terhadap kondisi keandalan Coal & Ash Handling dengan konsep reliability management meliputi : Analisis Pareto, Perhitungan interval pemeliharaan, MTBF, FMEA, RCFA, FDT, Asset wellness untuk menjaga keandalan pembangkit.;ACTV;2;74
75;KIT-PE-TRP-11;Perencanaan dan Evaluasi Keandalan Pembangkit Bidang Trafo Tenaga dan Peralatan Listrik Auxiliary;Transformer Power Reliability & Electricity Equipment Auxiliary Planning and Evaluation;Pengetahuan dan keterampilan  untuk melakukan perencanaan dan evaluasi terhadap kondisi keandalan peralatan listrik auxiliary dengan konsep reliability management antara lain: Analisis Pareto, Perhitungan interval pemeliharaan, MTBF, FMEA, RCFA, FDT, Asset wellness untuk menjaga keandalan pembangkit.;ACTV;2;75
76;KIT-PE-IRE-12;Perencanaan dan Evaluasi Keandalan Pembangkit Bidang Peralatan Kontrol Instrumen;Control Instrument Equipment Reliability Planning and Evaluation;Pengetahuan dan keterampilan  untuk melakukan monitoring dan evaluasi terhadap kondisi keandalan peralatan kontrol instrument pembangkit dengan konsep reliability management antara lain: Analisis Pareto, Perhitungan interval pemeliharaan, MTBF, FMEA, RCFA, FDT, Asset wellness untuk menjaga keandalan pembangkit.;ACTV;2;76
77;KIT-PE-PRE-13;Perencanaan dan Evaluasi Keandalan Pembangkit Bidang Sistem Proteksi;Protection System Reliability Planning and Evaluation;Pengetahuan dan keterampilan  untuk melakukan monitoring dan evaluasi terhadap kondisi keandalan peralatan sistem proteksi pembangkit dengan konsep reliability management antara lain: Analisis Pareto, Perhitungan interval pemeliharaan, MTBF, FMEA, RCFA, FDT, Asset wellness untuk menjaga keandalan pembangkit.;ACTV;2;77
78;KIT-PO-PSO-01;Operasi Sistem Pembangkit;Power Plant SystemOperation;Pengetahuan dan keterampilan  untuk merencanakan kebijakan operasi sistem pembangkitan tenaga listrik berbasis kepada merit order.;ACTV;2;78
79;KIT-PO-EPO-02;Operasi Sistem Kelistrikan Pembangkit (Non Trafo Daya);Electrical SystemPower PlantOperation;Pengetahuan dan keterampilan  untuk mengoperasikan sistem kelistrikan pembangkit (non trafo daya) pada unit pembangkit agar dapat beroperasi sesuai dengan Standard Operating Procedure (SOP) yang berlaku dan menekan jumlah gangguan yang mengakibatkan unitderating atau outagedari batasan yangditetapkan.;ACTV;2;79
80;KIT-PO-PTO-03;Operasi Generator dan Trafo Daya;Power Transformer and Generator Operation;Pengetahuan dan keterampilan  untuk mengoperasikan generator dan trafo daya pada unit pembangkit agar dapat beroperasi sesuai dengan Standard Operating Procedure (SOP) yang berlaku sehingga dapat menekan jumlah gangguan yang mengakibatkan unit derating dan outage dari batasan yang ditetapkan.;ACTV;2;80
81;KIT-PO-POP-04;Perencanaan Operasi Pembangkit;Power Plant Operation Planning;Pengetahuan dan keterampilan  untuk merencanakan dan mengevaluasi operasi pembangkit(termasuk produksi energi dan kebutuhan energi primer) dengan cara membuat/menyusun, memantau, mengevaluasi, menganalisis, mengendalikan serta melakukan pengawasan, termasuk membuat rencana anggaran operasi unit pembangkit.;ACTV;2;81
82;KIT-PO-POC-05;Pengendalian Operasi Pembangkit;Power Plant Operation Control;Pengetahuan dan keterampilan  mengendalikanserta melakukan pengawasan, termasuk pengendalian anggaran operasi unit pembangkit.;ACTV;2;82
83;KIT-PO-STO-06;Operasi Turbin Uap (PLTU/PLTGU/PLTP);Steam Turbine Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitorTurbin Uap pada unit PLTU/PLTGU/PLTP dari lokal serta mengambil tindakan yang diperlukan sesuai dengan Standard Operating Procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;83
84;KIT-PO-GST-07;Operasi Alat Bantu Turbin Uap Generator (PLTU / PLTGU / PLTP);Generator Steam Turbine Auxiliary Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor alat bantu turbin uap generator antara lain sistem pendinginutama, sistem pendingin generator, sistem pelumasan, Auxillary turbin dan lain-lain pada unit PLTU/PLTGU/PLTPserta mengambil tindakan yang diperlukan sesuai standard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;84
85;KIT-PO-GTO-08;Operasi Turbin Gas (PLTG/PLTGU);Gas Turbine Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor Turbin Gas pada unit pembangkit PLTG/PLTGU dari lokal serta mengambil tindakan yang diperlukan sesuai dengan Standard Operating Procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;85
86;KIT-PO-AGO-09;Operasi Alat Bantu Turbin Gas (PLTG/PLTGU);Gas Turbine Auxiliary Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor alat bantu turbin gas yang terdiri dari sistem pendingin utama, sistem pelumasandan lain-lain pada unit PLTG/PLTGU serta mengambil tindakan yang diperlukan sesuai dengan standard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;86
87;KIT-PO-FSO-10;Operasi Sistem Bahan Bakar Gas/ CNG (Compresed Natural Gas) / LNG (Liquified Natural Gas)/ Minyak (PLTG/PLTGU /PLTMG/PLTD);Gas Fuel System Operation;Pengetahuan dan keterampilan  untuk mengoperasikandan/atau memonitor sistem BahanBakar Gas/ CNG (Compresed Natural Gas) / LNG (Liquified Natural Gas) / Minyak (PLTG/PLTGU /PLTMG/PLTD) agar dapat mengambil tindakan yang diperlukan sesuai dengan standard operating procedure (SOP)untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;87
88;KIT-PO-SBO-11;Operasi sistem BOP Pembangkit Thermal;Steam Power Balanced Of Plant System Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor sistem BOP yang dan lain-lain pada unit pembangkit thermalsertamengambil tindakan yang diperlukan sesuai dengan standard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;88
89;KIT-PO-SGB-12;Operasi Pembangkit PLTU;Steam Coal-fired Power Plant Operation;Pengetahuan dan keterampilan  untuk Mengoperasikan dan/atau memonitorunit PLTU (Batubara, Minyak/Gas) dari ruang kendali serta mengambil tindakan yang diperlukan sesuai standard operating procedure yang berlaku (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;89
90;KIT-PO-SAB-13;Operasi Boiler PLTU Batubara;Steam Coal-Fired Power Plant Boiler Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitorBoilerpada Unit PLTU Batubara dari lokal serta mengambil tindakan yang diperlukansesuai dengan standard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;90
91;KIT-PO-SCO-14;Operasi Boiler PLTU Minyak/ Gas;Steam Gas/Oil-Fired Power Plant Boiler Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitorBoiler pada unit PLTU Minyak/Gas dari lokal serta mengambil tindakan yang diperlukan sesuai dengan standard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;91
92;KIT-PO-SCB-15;Operasi Alat Bantu Boiler PLTU (Batubara /Minyak/Gas);Steam Power Plant Auxiliary Boiler Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor Alat bantu Boiler terdiri dari sistem udara pembakaran, sistem gas buang, sistem pemanasan udara, sistem bahan bakar bantu BBM dan Auxillary Boiler pada unit PLTU Batubara/minyak/gas dari lokal serta mengambil tindakan yang diperlukansesuai dengan standing operation procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;92
93;KIT-PO-SCH-16;Operasi Coal handling PLTU Batubara;Steam Coal-Fired Power Plant Coal Handling Operation;"Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau peralatan conveyor system loading dan unloading batubara dari tongkang ke stockpile, dari tongkang ke coal silo/bunker maupun dari stockpile ke coal silo/bunker pada PLTU batubaraserta mengambil tindakan yang diperlukan sesuai standart operation procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien; tercapainya SLA ( Service Level Argeement ) pembongkaran batubara di tongkang.";ACTV;2;93
94;KIT-PO-SAH-17;Operasi Ash handling PLTU Batubara;Steam Coal-Fired Power Plant Ash Handling Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor Peralatan Ash handling unit PLTU Batubara yang terdiri dari fly ash dan bottom ash system serta mengambil tindakan yang diperlukan sesuai standing operation procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien agar proses pembuangan abu sisa pembakaran batubara di boiler tertangani dengan sempurna.;ACTV;2;94
95;KIT-PO-SSR-18;Operasi Stacker Reclaimer (STRE) PLTU Batubara;Steam Coal-Fired Power Plant Stacker Reclaimer (STRE) Operation;"Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau Stacker Reclaimer (STRE) dari ruang kendali STRE pada unit PLTU Batubara serta mengambil tindakan yang diperlukan sesuai standard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien; tercapainya SLA ( Service Level Argeement ) pembongkaran batubara di tongkang.";ACTV;2;95
96;KIT-PO-USO-19;Operasi Bongkar Batubara PLTU Batubara;Steam Coal-Fired Power Plant Unloading Ship of Coal Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor Ship Unloader dari ruang kendali Ship Unloader pada unit PLTU Batubara untuk sistem loading dan unloading batubara dari tongkang ke stockpile dan dari tongkang ke coal silo sertamengambil tindakan yang diperlukan sesuai dengan standing operation procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien, tercapainya SLA ( Service Level Argeement ) pembongkaran batubara di tongkang.;ACTV;2;96
97;KIT-PO-SHE-20;Operasi Alat Berat PLTU;Steam Coal-Fired Power Plant Heavy Equipment Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor Alat berat di unit pembangkitPLTU Batubara sertamengambil tindakan yang diperlukansesuai standart operationprocedure (SOP) yang berlaku, untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;97
98;KIT-PO-GPG-21;Operasi Unit PLTG (Ruang Kendali);Gas Power Plant Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor unit PLTGGas dari ruang kendali sertamengambil tindakan yang diperlukantandard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;98
99;KIT-PO-CPO-22;Operasi Unit PLTGU (Gas/BBM);Combine Cycle Power Plant Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor unit PLTGU Gas dari ruang kendali sertamengambil tindakan yang diperlukan standard operating procedure (SOP), untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;99
100;KIT-PO-CHR-23;Operasi HRSG (Heat Recovery Steam Generator) PLTGU;Combine Cycle Power Plant HRSG Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor HRSG pada unit PLTGUGas dari lokalsertamengambil tindakan yang diperlukan standard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;100
101;KIT-PO-CHA-24;Operasi alat bantu HRSG PLTG;Combine Cycle Power Plant HRSG (Heat Recovery Steam Generator) Auxiliary Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor peralatan bantu HRSG pada unit PLTGUGas dari lokalsertamengambil tindakan yang diperlukanstandard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;101
102;KIT-PO-GPO-25;Operasi Unit PLTP;Geothermal Power Plant Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor PLTP dariruang kendali sertamengambil tindakan yang diperlukanstandard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;102
103;KIT-PO-GAO-26;Operasi Alat Bantu PLTP (demister, pelumas dll);Geothermal Power Plant Auxiliary Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor peralatan bantu pada unit PLTP(sistem pendingin, sistem pelumas, dan sebagainya)dari local serta mengambil tindakan yang diperlukanstandard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;103
104;KIT-PO-GSF-27;Operasi Steam Field PLTP;Geothermal Power Plant Steam Field Operation;Pengetahuan dan keterampilan  untuk mengoperasikandan/atau memonitor Steam Field pada unit PLTP sertamengambil tindakan yang diperlukan standard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;104
105;KIT-PO-HPO-28;Operasi Unit PLTA;Hydro Power Plant Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor unit pembangkit Hidro sertamengambil tindakan yang diperlukan standard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;105
106;KIT-PO-HTO-29;Operasi Turbin Air PLTA;Hydro Power Plant Water Turbine Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor Turbin Air danGenerator pada unit PLTA dari lokalsertamengambil tindakan yang diperlukanstandard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;106
107;KIT-PO-HAO-30;Operasi Alat Bantu PLTA;Hydro Power Plant Water Auxiliary Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor peralatan bantu Turbin Air dan Generator (trash rack dan intake gate) pada unit PLTA dari lokal sertamengambil tindakan yang diperlukanstandard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;107
108;KIT-PO-MHO-31;Operasi dan Pemeliharaan PLTMH;Micro Hydro Power Plant Operation and Maintenance;Pengetahuan dan keterampilan  untuk mengoperasikan, memonitor dan/atau melakukan pemeliharaan unit PLTMH sertamengambil tindakan yang diperlukanstandard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;108
109;KIT-PO-GOM-32;Operasi dan Pemeliharaan Pembangkit Panas Bumi;Geothermal Power Plant Operation and Maintenance;Pengetahuan dan keterampilan  untuk mengoperasikan, memonitor dan/atau melakukan pemeliharaan unit PLTS sertamengambil tindakan yang diperlukan sesuaistandard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;109
110;KIT-PO-SOM-33;Operasi dan Pemeliharaan Pembangkit Listrik Tenaga Surya (PLTS);Solar Power Plant Operation and Maintenance;Pengetahuan dan keterampilan  untuk mengoperasikan, memonitor dan/atau melakukanpemeliharaan unit PLTS sertamengambil tindakan yang diperlukan sesuaistandard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;110
111;KIT-PO-BBO-34;Operasi dan Pemeliharaan Pembangkit Listrik Tenaga Biomasa (PLTBM) dan Pembangkit Listrik Tenaga Biogas;Biomass Power Plant & Biogas Power Plant Operation and Maintenance;Pengetahuan dan keterampilan  untuk mengoperasikan, memonitor dan/ataumelakukan pemeliharaan unit PLTBM sertamengambil tindakan yang diperlukan sesuaistandard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;111
112;KIT-PO-WPO-35;Operasi dan Pemeliharaan Pembangkit Listrik Tenaga Bayu (PLTB);Wind Power Plant Operation and Maintenance;Pengetahuan dan keterampilan  untuk mengoperasikan, memonitor dan/ataumelakukan pemeliharaanunit PLTB sertamengambil tindakan yang diperlukan sesuai standard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;112
113;KIT-PO-DPO-36;Operasi Unit PLTD;Diesel Power Plant Operation;Pengetahuan dan keterampilan  untuk mengoperasikan dan/atau memonitor unit PLTD serta mengambil tindakan yang diperlukan sesuaistandard operating procedure (SOP) untuk memastikan pengoperasian peralatan yang aman, andal dan efisien.;ACTV;2;113
