ID;SEBUTAN_JABATAN;organisasi_id;ORGANISASI;jenjang_jabatan_id;JENJANG_JABATAN;job_target_jabatan_id;job_target;PEMIMPIN_UNIT;stream_business_id;STREAM_BUSINESS;profesi_id;PROFESI;STATUS;DIRKOM_ID
88;Head of Development Metodologi, Jaminan Kualitas, dan Pelaporan;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;2;Manajemen Atas;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
89;Head of Division Metodologi, Jaminan Kualitas, dan Pelaporan;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
90;Manager Metodologi Audit;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
91;Manager Jaminan Kualitas Audit;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
92;Manager Pelaporan Audit;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
93;Head of Division Penunjang Operasional, SDM dan Administrasi Audit;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;3;Manajemen Menengah;;;Non Pemimpin Unit;10;Corporate and Technical Services;68;Administrasi SDM;ACTV;2
94;Manager Penunjang Operasional Audit;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;79;Manajemen Pelayanan dan Pengelolaan Kantor;ACTV;2
95;Manager SDM dan Administrasi Audit;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;68;Administrasi SDM;ACTV;2
96;Senior Audit Business Partner Imbangan Auditor Eksternal;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
97;Manager Imbangan Auditor Eksternal;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
98;Senior Audit Executive Investigasi;81;Kantor Pusat - Satuan Pengawasan Intern;2;Manajemen Atas;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
99;Group Head Audit Investigasi 1;81;Kantor Pusat - Satuan Pengawasan Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
100;Deputy Group Head Investigasi 1A;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
101;Deputy Group Head Investigasi 1B;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
102;Group Head Audit Investigasi 2;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
103;Deputy Group Head Investigasi 2A;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
104;Deputy Group Head Investigasi 2B;76;Kantor Pusat - Inspektorat Metodologi, Jaminan Kualitas, dan Pelaporan;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
105;Senior Audit Executive Kantor Pusat 1;80;Kantor Pusat - Satuan Pengawas Intern;2;Manajemen Atas;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
106;Group Head Audit Kantor Pusat 1;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
107;Deputy Group Head Audit Direktorat Human Capital dan Management, Pusdiklat;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
108;Deputy Group Head Audit Direktorat Keuangan;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
109;Deputy Group Head Audit Direktorat Niaga dan Manajemen Pelanggan;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
110;Deputy Group Head Audit Anak Perusahaan;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
111;Group Head Audit Teknologi Informasi;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
112;Deputy Group Head Audit Teknologi Informasi A;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
113;Deputy Group Head Audit Teknologi Informasi B;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
114;Deputy Group Head Audit Teknologi Informasi C;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
115;Deputy Group Head Audit Teknologi Informasi D;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
116;Senior Audit Executive Kantor Pusat 2;80;Kantor Pusat - Satuan Pengawas Intern;2;Manajemen Atas;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
117;Group Head Audit Kantor Pusat 2A;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
118;Deputy Group Head Audit Direktorat Perencanaan Korporat;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
119;Deputy Group Head Audit Direktorat Mega Project;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
120;Group Head Audit Kantor Pusat 2B;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
121;Deputy Group Head Audit Kantor Pusat;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
122;Deputy Group Head Audit Direktorat Energy Primer dan Anak Perusahaan;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
123;Senior Audit Executive Jawa, Madura dan Bali;80;Kantor Pusat - Satuan Pengawas Intern;2;Manajemen Atas;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
124;Group Head Audit Jawa Bagian Barat;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
125;Deputy Group Head Audit Distribusi Jakarta Raya 1;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
126;Deputy Group Head Audit Distribusi Jakarta Raya 2;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
127;Deputy Group Head Audit Distribusi Banten;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
128;Deputy Group Head Audit Proyek Pembangunan Jawa Bagian Barat;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
129;Deputy Group Head Audit Transmisi Jawa Bagian Barat dan Pusat Pengatur Beban Jawa Madura dan Bali;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
130;Group Head Audit Jawa Bagian Tengah;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
131;Deputy Group Head Audit Distribusi Jawa Barat 1;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
132;Deputy Group Head Audit Distribusi Jawa Barat 2;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
133;Deputy Group Head Audit Distribusi Jawa Tengah dan D.I. Yogyakarta 1;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
134;Deputy Group Head Audit Pembangkitan ;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
135;Deputy Group Head Audit KITLUR;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
136;Deputy Group Head Audit Distribusi Jawa Tengah dan D.I. Yogyakarta 2;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
137;Deputy Group Head Audit Proyek Pembangunan Jawa Bagian Tengah;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
138;Deputy Group Head Audit Pembangkitan Tanjung Jati B dan Transmisi Jawa Bagian Tengah;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
139;Group Head Audit Jawa Bagian Timur dan Bali;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
140;Deputy Group Head Audit Distribusi Jawa Timur 1;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
141;Deputy Group Head Audit Distribusi Jawa Timur 2;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
142;Deputy Group Head Audit Distribusi Bali;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
143;Deputy Group Head Audit Proyek Pembangunan Jawa Bagian Timur dan Bali;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
144;Deputy Group Head Audit Transmisi Jawa Bagian Timur dan Bali;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
145;Senior Audit Executive Sumatera Kalimantan;80;Kantor Pusat - Satuan Pengawas Intern;2;Manajemen Atas;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
146;Group Head Audit Sumatera Bagian Utara;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
147;Deputy Group Head Audit Distribusi Wilayah Aceh;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
148;Deputy Group Head Audit Distribusi Wilayah Sumatera Utara;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
149;Deputy Group Head Audit Distribusi Wilayah Riau dan Kepulauan Riau;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
150;Deputy Group Head Audit Distribusi Wilayah Sumatera Barat;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
151;Deputy Group Head Audit Pembangkitan Sumatera Bagian Utara;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
152;Deputy Group Head Audit Proyek Pembangunan Sumatera Bagian Utara;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
153;Group Head Audit Sumatera Bagian Selatan;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
154;Deputy Group Head Audit Distribusi Wilayah Sumatera Selatan, Jambi dan Bengkulu;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
155;Deputy Group Head Audit Distribusi Wilayah Bangka Belitung dan Distribusi Lampung;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
156;Deputy Group Head Audit Proyek Pembangunan Sumatera Bagian Tengah dan Pembangunan Sumatera Bagian Selatan;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
157;Deputy Group Head Audit Pembangkitan Sumatera Bagian Selatan;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
158;Deputy Group Head Audit Transmisi Penyaluran dan Pusat Pengatur Beban Sumatera;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
159;Group Head Audit Kalimantan;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
160;Deputy Group Head Audit Distribusi Wilayah Kalimantan Selatan dan Kalimantan Tengah;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
161;Deputy Group Head Audit Distribusi Wilayah Kalimantan Timur dan Kalimantan Utara;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
162;Deputy Group Head Audit Distribusi Wilayah Kalimantan Barat;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
163;Deputy Group Head Audit Proyek Pembangunan Kalimantan Bagian Timur;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
164;Deputy Group Head Audit Proyek Pembangunan Kalimantan Bagian Barat;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
165;Deputy Group Head Audit Pembangkitan dan Penyaluran Kalimantan;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
166;Senior Audit Executive Sulawesi, Maluku, Papua dan Nusa Tenggara;80;Kantor Pusat - Satuan Pengawas Intern;2;Manajemen Atas;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
167;Group Head Audit Sulawesi;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
168;Deputy Group Head Audit Pembangkitan dan Penyaluran Sulawesi 1;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
169;Deputy Group Head Audit Pembangkitan dan Penyaluran Sulawesi 2;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
170;Deputy Group Head Audit Distribusi Wilayah Sulawesi Utara, Sulawesi Tengah dan Gorontalo;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
171;Deputy Group Head Audit Proyek Pembangunan Sulawesi;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
172;Group Head Audit Sulawesi dan Nusa Tenggara;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
173;Deputy Group Head Audit Distribusi Wilayah Sulawesi Selatan, Sulawesi Tenggara, dan Sulawesi Barat 1;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
174;Deputy Group Head Audit Distribusi Wilayah Sulawesi Selatan, Sulawesi Tenggara, dan Sulawesi Barat 2;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
175;Deputy Group Head Audit Distribusi Wilayah Nusa Tenggara Barat dan Nusa Tenggara Timur;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
176;Deputy Group Head Audit Proyek Pembangunan Nusa Tenggara;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
177;Group Head Audit Maluku Dan Papua;80;Kantor Pusat - Satuan Pengawas Intern;3;Manajemen Menengah;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
178;Deputy Group Head Audit Wilayah Maluku dan Maluku Utara 1;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
179;Deputy Group Head Audit Wilayah Maluku dan Maluku Utara 2;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
180;Deputy Group Head Audit Wilayah Papua dan Papua Barat 1;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
181;Deputy Group Head Audit Wilayah Papua dan Papua Barat 2;80;Kantor Pusat - Satuan Pengawas Intern;4;Manajemen Dasar;;;Non Pemimpin Unit;3;Internal Control and Compliance;62;Auditor;ACTV;2
182;Corporate Secretary;97;Sekretariat Perusahaan;2;Manajemen Atas;;;Non Pemimpin Unit;10;Corporate and Technical Services;77;Manajemen Stakeholder;ACTV;2
183;Vice President Hubungan Investor, Institutional dan Good Corporate Governance;97;Sekretariat Perusahaan;3;Manajemen Menengah;;;Non Pemimpin Unit;10;Corporate and Technical Services;77;Manajemen Stakeholder;ACTV;2
184;Manager Hubungan Investor dan Good Corporate Governance;97;Sekretariat Perusahaan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;77;Manajemen Stakeholder;ACTV;2
185;Manager Hubungan Institutional;97;Sekretariat Perusahaan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;77;Manajemen Stakeholder;ACTV;2
186;Manager Laporan Manajemen dan Statistik;97;Sekretariat Perusahaan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;78;Manajemen Kesekretariatan dan Kearsipan;ACTV;2
187;Vice President Internal Direksi;97;Sekretariat Perusahaan;3;Manajemen Menengah;;;Non Pemimpin Unit;10;Corporate and Technical Services;77;Manajemen Stakeholder;ACTV;2
188;Manager Kesekretariatan dan Administrasi Direksi;97;Sekretariat Perusahaan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;78;Manajemen Kesekretariatan dan Kearsipan;ACTV;2
189;Manager Protokoler Direksi;97;Sekretariat Perusahaan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;77;Manajemen Stakeholder;ACTV;2
190;Manager Eksekutif Direksi;86;Kantor Pusat - Wakil Direktur Utama;3;Manajemen Menengah;;;Non Pemimpin Unit;9;Corporate Planning and Performance;81;Manajemen Kinerja;ACTV;2
191;Executive Vice President Manajemen Perubahan;32;Kantor Pusat - Divisi Manajemen Perubahan;2;Manajemen Atas;;;Non Pemimpin Unit;10;Corporate and Technical Services;84;Manajemen Perubahan;ACTV;2
192;Vice President Perencanaan dan Valuasi Manajemen Perubahan;32;Kantor Pusat - Divisi Manajemen Perubahan;3;Manajemen Menengah;;;Non Pemimpin Unit;10;Corporate and Technical Services;84;Manajemen Perubahan;ACTV;2
193;Manager Valuasi Manajemen Perubahan;32;Kantor Pusat - Divisi Manajemen Perubahan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;84;Manajemen Perubahan;ACTV;2
194;Manager Perencanaan Strategi Perubahan;32;Kantor Pusat - Divisi Manajemen Perubahan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;84;Manajemen Perubahan;ACTV;2
195;Vice President Program Manajemen Perubahan;32;Kantor Pusat - Divisi Manajemen Perubahan;3;Manajemen Menengah;;;Non Pemimpin Unit;10;Corporate and Technical Services;84;Manajemen Perubahan;ACTV;2
196;Manager Pengelolaan Perubahan Stakeholder dan Counterpart;32;Kantor Pusat - Divisi Manajemen Perubahan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;84;Manajemen Perubahan;ACTV;2
197;Manager Pengelolaan Program Perubahan;32;Kantor Pusat - Divisi Manajemen Perubahan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;84;Manajemen Perubahan;ACTV;2
198;Vice President Komunikasi Manajemen Perubahan;32;Kantor Pusat - Divisi Manajemen Perubahan;3;Manajemen Menengah;;;Non Pemimpin Unit;10;Corporate and Technical Services;75;Komunikasi;ACTV;2
199;Manager Produksi Komunikasi Perubahan;32;Kantor Pusat - Divisi Manajemen Perubahan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;75;Komunikasi;ACTV;2
200;Manager Perencanaan dan Eksekusi Komunikasi;32;Kantor Pusat - Divisi Manajemen Perubahan;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;75;Komunikasi;ACTV;2
201;Executive Vice President Manajemen Regulator;79;Kantor Pusat - Manajemen Regulator;2;Manajemen Atas;;;Non Pemimpin Unit;10;Corporate and Technical Services;77;Manajemen Stakeholder;ACTV;2
202;Vice President Reformasi Sektor Ketenagalistrikan;79;Kantor Pusat - Manajemen Regulator;3;Manajemen Menengah;;;Non Pemimpin Unit;10;Corporate and Technical Services;77;Manajemen Stakeholder;ACTV;2
203;Manager Perencanaan dan Strategi Reformasi Sektor Ketenagalistrikan;79;Kantor Pusat - Manajemen Regulator;4;Manajemen Dasar;;;Non Pemimpin Unit;10;Corporate and Technical Services;77;Manajemen Stakeholder;ACTV;2
