ID;KODE_KOMPETENSI;KOMPETENSI_ID;level;PERILAKU;CONTOH;STATUS;DIRKOM_ID
269;KIT-EM-GPR-05;54;1;Mengetahui dan memahami proses pengadaan bahan bakar gas, logistik dan infrastruktur gas.;- Contoh : Menyebutkan dan menjelaskan dan menjelaskan prosedur pengadaan gas sesuai dengan ketentuan yang berlaku ;ACTV;2
270;KIT-EM-CGC-06;55;1;Mengetahui dan memahami klausul-klausul yang terdapat pada kontrak Jual Beli Gas, Jasa transportasi, jasa penyimpanan dan pemrosesan gas dan kontrak lain terkait dengan pemenuhan kebutuhan gas.;Contoh : Menyebutkan dan menjelaskan  dan menjelaskan klausul take or pay, ship or pay, jumlah penyerahan harian, jumlah penyaluran maksimum harian dll.;ACTV;2
271;KIT-EM-GSC-07;56;1;Mengetahui dan memahami keterkaitan klausul-klausul yang mengatur tentang komitmen volume dalam kontrak serta konsekuensi yang timbul dari pelaksanaannya.;Contoh : Menyebutkan dan menjelaskan  dan menjelaskan keterkaitan antara jumlah penyerahan harian, jumlah penyerahan minumum tahunan, jumlah penyaluran maksimum harian, volume gas make up, dll.;ACTV;2
272;KIT-EM-GRR-08;57;1;Mengetahui dan memahami proses penyiapan laporan internal yang terkait dengan Gas dan periode penyampaiannya.;- Contoh : Menyebutkan dan menjelaskan proses penyiapan laporan realisasi bahan bakar gas dan laporan pengiriman/penyerapan Gas per permasok serta menjelaskan jenis-jenis alat transaksi gas beserta cara kerjanya sesuai SOP yang berlaku ;ACTV;2
273;KIT-EM-FPR-09;58;1;Mengetahui memahami proses pengadaan BBM serta parameter yang berhubungan dengan pengadaan BBM.;Contoh : Menyebutkan dan menjelaskan dan menjelaskan metode pemenuhan kebutuhan BBM sesuai dengan ketentuan yang berlaku;ACTV;2
274;KIT-EM-CFE-10;59;1;Mengetahui dan memahami proses pembuatan kontrak dan amandemen kontrak, BBM serta parameter yang berhubungan dengan kontrak BBM.;Contoh : Menyebutkan dan menjelaskan dan menjelaskan proses pembuatan kontrak dan amandemen tahunan per-pemasok secara proporsional sesuai aturan yang berlaku, serta memahami maksud pasal pasal yang ada didalamnya.;ACTV;2
275;KIT-EM-MEF-11;60;1; Mengetahui dan memahami proses monitoring pasokan BBM;Contoh : Menyebutkan dan menjelaskan dan menjelaskan rencana kebutuhan BBM dan memahami metode perhitungan neraca kebutuhan BBM;ACTV;2
276;KIT-EM-FRR-12;61;1;Mengetahui dan memahami secara komprehensif penyiapan laporan internal dan eksternal yang terkait dengan BBM dan periode penyampaiannya;Contoh : Menyebutkan dan menjelaskan  dan menjelaskan metode perhitungan realisasi bahan bakar, proses penyiapan laporan realisasi bahan bakar,  laporan pengiriman BBM per permasok. ;ACTV;2
277;KIT-PP-GSP-01;62;1;Mengetahui dan memahami proses perencanaan jangka panjang sistem pembangkitan (generation expansion planning);Contoh : Menyebutkan dan menjelaskan dan menjelaskan proses yang terkait dengan generation expansion planning antara lain engineering economics, karakteristik pembangkit dan energi primer, mengerti konsep neraca daya, reserve margin, dependable capacity dan Integrated design PSO dan non PSO;ACTV;2
278;KIT-PP-PAP-02;63;1;Mengetahui dan memahami perencanaan pengelolaan aset pembangkit Contoh : ;Contoh :  Menyebutkan dan menjelaskan dan menjelaskan proses merencanakan operasi pembangkit, pemeliharaan pembangkit, dan penyusunan predictive maintenance;ACTV;2
279;KIT-PP-RPE-03;64;1;Mengetahui dan memahami proses yang terkait dengan pembuatan kebijakan pengembangan pembangkit energi baru dan terbarukan serta parameter yang berhubungan dengan kebijakan pengembangan pembangkit energi baru dan terbarukan;Contoh : Menyebutkan dan menjelaskan dan menjelaskan mengenai neraca daya, reserve margin, mengetahui potensi energi baru dan terbarukan, mengetahui asumsi yang berhubungan dengan pengambilan keputusan investasi di sisi pembangkitan.;ACTV;2
280;KIT-PE-PEC-01;65;1;Mengetahui dan memahami proses bisnis yang terkait dengan evaluasi dan pengendalian kinerja pembangkit;Contoh : Menyebutkan dan menjelaskan  dan menjelaskan indikator-indikator kinerja pembangkit;ACTV;2
281;KIT-PE-PPM-02;66;1;Mengetahui dan memahami proses mengukur parameter sesuai tools/teknologi yang digunakan dalam pemeliharaan prediktif pembangkitan ;Contoh : Menyebutkan dan menjelaskan dan  menjelaskan cara mengukur parameter sesuai tools/teknologi yang digunakan;ACTV;2
282;KIT-PE-EMS-03;67;1;Mengetahui dan memahami  proses pekerjaan yang berkaitan dengan pemeliharaan peralatan pembangkit dengan konsep reliability management;Contoh : Menyebutkan dan menjelaskan  dan menjelaskan cara pembuatan Asset Register;ACTV;2
283;KIT-PE-LCM-04;68;1;Mengetahui dan memahami  proses pekerjaan yang berkaitan dengan data operasi dan pemeliharaan;Contoh : Menyebutkan dan menjelaskan dan menjelaskan jenis-jenis data pemeliharaan, operasi dan seluruh biaya yang terkait didalamnya;ACTV;2
284;KIT-PE-PRE-05;69;1;Mengetahui dan memahami proses pekerjaan yang berkaitan dengan monitoring dan evaluasi terhadap kondisi keandalan pembangkit dengan konsep reliability management;Contoh : Menyebutkan dan menjelaskan dan menjelaskan cara pengumpulan data dan analisis Pareto, REAP, Asset wellness, RLA, RCFA, FMEA  ;ACTV;2
285;KIT-PE-BRE-06;70;1;Mengetahui dan memahami proses pekerjaan yang berkaitan dengan monitoring dan evaluasi terhadap kondisi keandalan pembangkit bidang boiler dengan konsep reliability management;Contoh : Menyebutkan dan menjelaskan dan menjelaskan cara perhitungan Failure Mode Effect Analysis (FMEA) boiler;ACTV;2
286;KIT-PE-TRE-07;71;1;Mengetahui dan memahami proses monitoring dan evaluasi terhadap kondisi keandalan turbin dengan konsep reliability management;Contoh : Menyebutkan dan menjelaskan dan menjelaskan cara menentukan RCFA (Root Cause Failure Analysis)turbin.;ACTV;2
287;KIT-PE-GRE-08;72;1;Mengetahui dan memahami dan memahami proses pekerjaan yang berkaitan dengan monitoring dan evaluasi terhadap kondisi keandalan generator dengan konsep reliability management;Contoh : Menyebutkan dan menjelaskan dan menjelaskan cara perhitungan RLA (Remaining Life Assesment) generator.;ACTV;2
288;KIT-PE-ARE-09;73;1;Mengetahui dan memahami proses monitoring dan evaluasi terhadap kondisi keandalan BOP dan Auxiliary dengan konsep reliability management;Contoh : Menyebutkan dan menjelaskan dan menjelaskan cara pemetaan Asset wellnessBOP dan Auxiliary;ACTV;2
289;KIT-PE-CRE-10;74;1;Mengetahui dan memahami proses monitoring dan evaluasi terhadap kondisi keandalan Coal & Ash Handling dengan konsep reliability management;Contoh : Menyebutkan dan menjelaskan dan menjelaskan cara menentukan RCFA (Root Cause Failure Analysis)Coal & Ash Handling;ACTV;2
290;KIT-PE-TRP-11;75;1;Mengetahui dan memahami proses monitoring dan evaluasi terhadap kondisi keandalan peralatan listrik pembangkit dengan konsep reliability management;Contoh : Menyebutkan dan menjelaskan dan menjelaskan cara penyusunan RCFA (Root Cause Failure Analysis)pada peralatan listrik auxiliary pembangkit;ACTV;2
291;KIT-PE-IRE-12;76;1;Mengetahui dan memahami proses monitoring dan evaluasi terhadap kondisi keandalan peralatan kontrol instrument pembangkit dengan konsep reliability management;Contoh : Menyebutkan dan menjelaskan cara penyusunan RCFA (Root Cause Failure Analysis) peralatan kontrol instrument pembangkit;ACTV;2
292;KIT-PE-PRE-13;77;1;Mengetahui dan memahami proses monitoring dan evaluasi terhadap kondisi keandalan sistem proteksi pembangkit dengan konsep reliability management;Contoh : Menyebutkan dan menjelaskan dan menjelaskan cara penyusunan RCFA (Root Cause Failure Analysis) sistem proteksi pembangkit;ACTV;2
293;KIT-PO-PSO-01;78;1;Mengetahui dan memahami kebijakan proses pengaturan pembangkit tenaga listrik.;Contoh : Menyebutkan dan menjelaskan dan menjelaskan karakteristik pusat listrik secara umum berbasis merit order;ACTV;2
294;KIT-PO-EPO-02;79;1;Mengetahui dan memahami sistem cara pengoperasian sistem kelistrikan pembangkit (non trafo daya) pada unit pembangkit sesuai dengan Standard Operating Procedure (SOP);Contoh : Menyebutkan dan menjelaskan dan menjelaskan diagram alir dan cara pengoperasian sistem kelistrikan unit Pembangkit sesuai dengan Standard Operating Procedure (SOP);ACTV;2
295;KIT-PO-PTO-03;80;1;Mengetahui dan memahami sistem cara pengoperasian generator dan trafo daya pada unit pembangkit sesuai dengan Standard Operating Procedure (SOP);Contoh : Menyebutkan dan menjelaskan diagram alir dan cara pengoperasian generator dan trafo daya pada unit Pembangkit sesuai dengan Standard Operating Procedure (SOP);ACTV;2
296;KIT-PO-POP-04;81;1;Mengetahui dan memahami proses penyusunan rencana operasi pembangkit;Contoh : Menyebutkan dan menjelaskan data-data yang diperlukan untuk menyusun rencana operasi;ACTV;2
297;KIT-PO-POC-05;82;1;Mengetahui dan memahami pola operasi pembangkit dan cara merencanakan anggaran operasi pembangkit;Contoh : Menyebutkan dan menjelaskan data-data yang diperlukan untuk menentukan pola operasi dan menyusun rencana operasi pembangkit;ACTV;2
298;KIT-PO-STO-06;83;1;Mengetahui dan memahami cara pengoperasian turbin uap dari lokal pada unit PLTU/PLTGU/PLTP sesuai dengan Standard Operating Procedure (SOP);Contoh : Menyebutkan dan menjelaskan diagram alir dan cara pengoperasian turbin uap dari local pada unit PLTU/PLTGU/PLTP mulai dari pre-start sampai full load sesuai dengan Standard Operating Procedure (SOP);ACTV;2
299;KIT-PO-GST-07;84;1;Mengetahui dan memahami cara pengoperasian alat bantu turbin uap generator pada unit PLTU/PLTGU/PLTP sesuai dengan Standard Operating Procedure (SOP).;Contoh : Menyebutkan dan menjelaskan diagram alir dan cara pengoperasian alat bantu turbin uap generator pada unit PLTU/PLTGU/PLTP mulai dari pre-start sampai full load sesuai dengan standard operating procedure (SOP);ACTV;2
300;KIT-PO-GTO-08;85;1;Mengetahui dan memahami cara pengoperasian Turbin Gas dari lokal pada unit PLTG/PLTGU sesuai dengan Standard Operating Procedure (SOP);Contoh : Menyebutkan dan menjelaskan diagram alir dan cara pengoperasian Turbin Gas dari lokal unit PLTG/PLTGU mulai dari pre-start sampai full load sesuai dengan Standard Operating Procedure (SOP);ACTV;2
301;KIT-PO-AGO-09;86;1;Mengetahui dan memahami cara pengoperasian alat bantu turbin gas unit PLTG/PLTGUsesuai dengan Standard Operating Procedure (SOP);Contoh : Menyebutkan dan menjelaskan diagram alir dan cara pengoperasian alat bantu turbin gas pada unit PLTG/PLTG mulai dari pre-start sampai full load sesuai dengan standard operating procedure (SOP);ACTV;2
302;KIT-PO-FSO-10;87;1;Mengetahui dan memahami cara pengoperasian sistem bahan Bakar Gas/ CNG (Compresed Natural Gas) / LNG (Liquified Natural Gas) / Minyak (PLTG/PLTGU /PLTMG/PLTD)sesuai dengan Standard Operating Procedure (SOP).;Contoh : Menyebutkan dan menjelaskani diagram alir dan cara pengoperasian sistem bahan Bakar CNG (Compresed Natural Gas)mulai dari pre-start sampai full load sesuai dengan standard operating procedure (SOP);ACTV;2
303;KIT-PO-SBO-11;88;1;Mengetahui dan memahami cara pengoperasian sistem BOP pada unit pembangkit thermal sesuai dengan Standard Operating Procedure (SOP).;Contoh : Menyebutkan dan menjelaskan diagram alir dan cara pengoperasian pada unit PLTU/PLTGU/PLTP mulai dari pre-start sampai full load sesuai dengan standard operating procedure (SOP);ACTV;2
304;KIT-PO-SGB-12;89;1;Mengetahui dan memahami cara pengoperasian unit PLTU (Batubara, Minyak/Gas).;Contoh : Menyebutkan dan menjelaskan cara pengoperasian unit PLTU (Batubara, Minyak/Gas) mulai dari persiapan, start, Berbeban dan Stop sesuai dengan SOP;ACTV;2
305;KIT-PO-SAB-13;90;1;Mengetahui dan memahami cara pengoperasian Boiler local pada unit PLTU Batubara;Contoh : Menyebutkan dan menjelaskan diagram alir dan cara pengoperasian Boiler local unit PLTU batu bara mulai dari pre-start sampai full load sesuai dengan standard operating procedure (SOP);ACTV;2
306;KIT-PO-SCO-14;91;1;Mengetahui dan memahami cara pengoperasian Boiler lokal pada unit PLTU Minyak/Gas;Contoh : Menyebutkan dan menjelaskan diagram alir dan cara pengoperasian Boiler local unit PLTU Minyak/Gas mulai dari pre-start sampai full load sesuai dengan standard operating procedure (SOP).;ACTV;2
307;KIT-PO-SCB-15;92;1;Mengetahui dan memahami cara pengoperasian Alat bantu Boilerlocal dan diagram alir pada unit pembangkit PLTU;Contoh : Menyebutkan dan menjelaskan diagram alir dan cara pengoperasian Alat Bantu Boiler local unit PLTU mulai dari pre-start sampai full load sesuai dengan standard operating procedure (SOP);ACTV;2
308;KIT-PO-SCH-16;93;1;Mengetahui dan memahami cara pengoperasian peralatan conveyor untuk system loading dan unloading batubara pada PLTU batubara sesuai dengan SOP.;Contoh : Menyebutkan dan menjelaskan diagram alir dan system conveyor pada peralatan loading unloading batubara pada PLTU batubara;ACTV;2
309;KIT-PO-SAH-17;94;1;Mengetahui dan memahami cara pengoperasian Peralatan Ash Handling pada unit pembangkit PLTU Batubara;Contoh : Menyebutkan dan menjelaskan diagram alir dan cara pengoperasian Ash handling pada unit PLTU Batubara;ACTV;2
310;KIT-PO-SSR-18;95;1;Mengetahui dan memahami cara pengoperasian STRE dari ruang kendali STRE pada unit pembangkit PLTU Batubara;Contoh : Menyebutkan dan menjelaskan cara pengoperasian STRE dari ruang kendali STRE pada unit pembangkit PLTU Batubara;ACTV;2
311;KIT-PO-USO-19;96;1;Mengetahui dan memahami cara pengoperasian Ship Unloader dari ruang kendali Ship Unloader pada unit PLTU Batubara;Contoh : Menyebutkan dan menjelaskan cara pengoperasian Ship Unloader dari ruang kendali Ship Unloader pada unit PLTU Batubara;ACTV;2
312;KIT-PO-SHE-20;97;1;Mengetahui dan memahami cara pengoperasian Alat berat di unit pembangkit PLTU Batubara;Contoh : Menyebutkan dan menjelaskan cara pengoperasian Alat-alat berat di unit pembangkit PLTU Batubara;ACTV;2
313;KIT-PO-GPG-21;98;1;Mengetahui dan memahami cara pengoperasian unit pembangkit PLTG gas dari ruangkendali.;Contoh : Menyebutkan dan menjelaskan cara pengoperasian unit pembangkit PLTG Gas dari ruang kendali mulai dari pre start sampai full load.;ACTV;2
314;KIT-PO-CPO-22;99;1;Mengetahui dan memahami cara pengoperasian unit pembangkit PLTGU Gas dari ruang kendali.;Contoh : Menyebutkan dan menjelaskan cara pengoperasian unit pembangkit PLTGU Gasdari ruang kendali mulai dari pre start sampai full load.;ACTV;2
315;KIT-PO-CHR-23;100;1;Mengetahui dan memahami cara pengoperasian unit pembangkitPLTGU Gas dari lokal;Contoh : Menyebutkan dan menjelaskan cara pengoperasian unit pembangkit PLTGU Gasmulai dari HRSG, Turbin, dan Generator.;ACTV;2
316;KIT-PO-CHA-24;101;1;Mengetahui dan memahami cara pengoperasian Lokal HRSG dan Alat Bantu unit PLTGU Gas;Contoh : Menyebutkan dan menjelaskan cara pengoperasian Lokal HRSG dan Alat Bantuunit pembangkit PLTGU Gas;ACTV;2
317;KIT-PO-GPO-25;102;1;Mengetahui dan memahami cara pengoperasian unit pembangkit PLTP dari ruang kendali.;Contoh : Menyebutkan dan menjelaskan cara pengoperasian dan operasi unit pembangkitPLTP dari ruang kendali mulai dari pre start sampai full load;ACTV;2
318;KIT-PO-GAO-26;103;1;Mengetahui dan memahami pekerjaan yang berkaitan dengan operasi Lokal alat bantu (pendinginan, pelumas) pada unit pembangkit PLTP.;Contoh : Menyebutkan dan menjelaskan berbagai jenis pekerjaan operasi Lokal Alat bantu (pendinginan, pelumas) pada unit pembangkit PLTP;ACTV;2
319;KIT-PO-GSF-27;104;1;Mengetahui dan memahami proses pekerjaan yang berkaitan dengan pengoperasian Steam Field PLTP.;Contoh : Menyebutkan dan menjelaskan cara pengoperasian Steam Field PLTP;ACTV;2
320;KIT-PO-HPO-28;105;1;Mengetahui dan memahami cara pengoperasian unit pembangkit Hidro.;Contoh : Menyebutkan dan menjelaskan cara pengoperasian unit pembangkit Hidro mulaidari pre-start sampai full load.;ACTV;2
321;KIT-PO-HTO-29;106;1;Mengetahui dan memahami cara pengoperasian unit pembangkit Hidro;Contoh : Menyebutkan dan menjelaskan cara pengoperasian unit pembangkit Hidro mulaidari pre-start sampai full load.;ACTV;2
322;KIT-PO-HAO-30;107;1;Mengetahui dan memahami cara operasi Lokal Alat Bantu Turbin Air, Generator unit PLTA;Contoh : Menyebutkan dan menjelaskan cara pengoperasian Lokal Alat Bantu Turbin Air, Generator unit pembangkit PLTA mulai dari pre-start sampai full load.;ACTV;2
323;KIT-PO-MHO-31;108;1;Mengetahui dan memahami cara operasi dan pemeliharaan unit PLTMH;Contoh : Menyebutkan dan menjelaskan cara pengoperasian unit PLTMH mulai dari start sampai full load, dapat Menyebutkan dan menjelaskan berbagai jenis pekerjaan pemeliharaan unit pembangkit PLTMH;ACTV;2
324;KIT-PO-GOM-32;109;1;Mengetahui dan memahami proses pekerjaan yang berkaitan dengan perencanaan operasi dan pemeliharaan unit pembangkit panas bumi, termasuk merencanakan anggaran operasi dan pemeliharaan serta mengetahui batas kewajaran deviasi antara rencana dan realisasi.;Contoh : Menyebutkan dan menjelaskan perhitungan anggaran pemeliharaan pembangkit pembangkit panas bumi;ACTV;2
325;KIT-PO-SOM-33;110;1;Mengetahui dan memahami dan dapat Menyebutkan dan menjelaskan pekerjaan-pekerjaan operasi dan pemeliharaan unit PLTS;Contoh : Menyebutkan dan menjelaskan cara pengoperasian unit PLTS, dapat Menyebutkan dan menjelaskan berbagai jenis pekerjaan pemeliharaan unit pembangkit PLTS;ACTV;2
326;KIT-PO-BBO-34;111;1;"Mengetahui dan memahami proses; mampu menjelaskan latar belakang pelaksanaan pekerjaan-pekerjaan yang berkaitan dengan operasi dan pemeliharaan unit PLTBM ";Contoh : Menyebutkan dan menjelaskan cara pengoperasian unit PLTBM mulai dari start sampai full load, dapat Menyebutkan dan menjelaskan berbagai jenis pekerjaan pemeliharaan unit pembangkit PLTBM.;ACTV;2
327;KIT-PO-WPO-35;112;1;"Mengetahui dan memahami proses; dapat Menyebutkan dan menjelaskan cara operasi unit PLTB, engetahui proses; dapat Menyebutkan dan menjelaskan pekerjaan-pekerjaan yang berkaitan dengan pemeliharaan unit PLTB";Contoh : Menyebutkan dan menjelaskan cara pengoperasian dan pemeliharaan unit PLTB mulai dari start sampai full load.;ACTV;2
328;KIT-PO-DPO-36;113;1;Mengetahui dan memahami cara operasi Ruang Kendali PLTD (bahan bakar minyak);Contoh : Menyebutkan dan menjelaskan cara pengoperasian Ruang Kendali PLTD (bahanbakar minyak) mulai dari pre-start sampai full load.;ACTV;2
329;KIT-PO-DMO-37;114;1;Mengetahui dan memahami cara operasi Lokal Diesel, Generator (bahan bakar minyak);Contoh : Menyebutkan dan menjelaskan cara pengoperasian Lokal Diesel, Generator (bahanbakar minyak);ACTV;2
330;KIT-PO-DAO-38;115;1;Mengetahui dan memahami cara operasi Lokal Alat Bantu Diesel, Generator unit pembangkit PLTD (bahan bakar minyak);Contoh : Menyebutkan dan menjelaskan cara pengoperasian Lokal Alat Bantu Diesel, Generator unit pembangkit PLTD (bahan bakar minyak) mulai dari prestartsampai full load.;ACTV;2
331;KIT-PO-GEO-39;116;1;Mengetahui dan memahami proses dan cara pengoperasian PLTMG dari ruang kendali (CCR);Contoh : Menyebutkan dan menjelaskan cara pengoperasian PLTMG mulai dari Pre Start, Start Up sampai Full Load.;ACTV;2
332;KIT-PO-GMO-40;117;1;Mengetahui dan memahami cara pengoperasianperalatan Mesin Gas dan Generator Lokal PLTMG.;Contoh : Menyebutkan dan menjelaskan cara pengoperasian Mesin Gas dan Generator Lokal PLTMG.;ACTV;2
333;KIT-PO-AGE-41;118;1;Mengetahui dan memahami proses dan cara pengoperasian Alat BantuMesin Gas dan Generator PLTMG.;Contoh : Menyebutkan dan menjelaskan cara pengoperasian Alat Bantu Mesin Gas dan Generator PLTMG (Radiator Cooling Fan, Supply bahan bakar gas) .;ACTV;2
334;KIT-PO-WTO-42;119;1;"Mengetahui dan memahami proses; mengetahui cara pengoperasian WTP dan WWTP";Contoh : Menyebutkan dan menjelaskan cara pengoperasian WTP dan WWTP;ACTV;2
335;KIT-PM-PMP-01;120;1;Mengetahui dan memahami proses pekerjaan yang berkaitan denganpelaksanaan kegiatan pemeliharaan pembangkit berdasarkan strategi pemeliharaan yang sudah ditetapkan;Contoh : Menyebutkan dan menjelaskan cara menyusun job task (sumber daya, waktu, biaya, ijin kerja, job instruction);ACTV;2
336;KIT-PM-PMC-02;121;1;Mengetahui dan memahami proses kegiatan pemeliharaan pembangkit yang berkaitan dengan konsep realibility management.;Contoh : Menyebutkan dan menjelaskan maksud dan tujuan dari asset register, SERP, FMEA, RCFA, FDT, OEE, analisis Pareto, REAP, Asset wellness, dan RLA yang diterbitkan oleh Pengendalian Perencanaan Pemeliharaan Pembangkit;ACTV;2
337;KIT-PM-GAM-03;122;1;Mengetahui dan memahami pekerjaan yang berkaitan dengan pemeliharaan generator beserta auxiliaryelectric.;Contoh : Menyebutkan dan menjelaskan berbagai jenis pekerjaan pemeliharaan generator beserta auxiliaryelectric;ACTV;2
338;KIT-PM-EMM-04;123;1;Mengetahui dan memahami pekerjaan yang berkaitan dengan pemeliharaan motor listrik pembangkit.;Contoh : Menyebutkan dan menjelaskan berbagai jenis pekerjaan pemeliharaan motor listrik pembangkit;ACTV;2
339;KIT-PM-TPM-05;124;1;Mengetahui dan memahami pekerjaan yang berkaitan dengan pemeliharaan trafo pembangkit.;Contoh : Menyebutkan dan menjelaskan berbagai jenis pekerjaan pemeliharaan trafo pembangkit;ACTV;2
340;KIT-PM-EIM-06;125;1;Mengetahui dan memahami pekerjaan yang berkaitan dengan pemeliharaan instalasi listrik AC DC pembangkit.;Contoh : Menyebutkan dan menjelaskan berbagai jenis pekerjaan pemeliharaan instalasi listrik AC DC pembangkit;ACTV;2
341;KIT-PM-SCI-07;126;1;Mengetahui dan memahami pekerjaan yang berkaitan dengan pemeliharaan instrumen kontrol software pembangkit.;Contoh : Menyebutkan dan menjelaskan berbagai jenis pekerjaan pemeliharaan instrumen kontrol software pembangkit;ACTV;2
342;KIT-PM-HCI-08;127;1;Mengetahui dan memahami pekerjaan yang berkaitan dengan pemeliharaan instrumen kontrol hardware pembangkit.;Contoh : Menyebutkan dan menjelaskan berbagai jenis pekerjaan pemeliharaan instrumen kontrol hardware pembangkit;ACTV;2
343;KIT-PM-CIS-09;128;1;Mengetahui dan memahami pekerjaan yang berkaitan dengan sistem instrumen kontrol baik software dan hardware pembangkit pembangkit.;Contoh : Menyebutkan dan menjelaskan berbagai jenis pekerjaan sistem instrumen kontrol baik software dan hardware pembangkit pembangkit;ACTV;2
344;KIT-PM-MPE-10;129;1;Mengetahui dan memahami pekerjaan yang berkaitan dengan pemeliharaan proteksi peralatan mekanikal pembangkit.;Contoh : Menyebutkan dan menjelaskan berbagai jenis pekerjaan pemeliharaan proteksi peralatan mekanikal pembangkit;ACTV;2
